,dwnstrm [Ambient],,
,CO2,,,
04/05/17 10:49:47.069,"2792",,
04/05/17 10:49:52.069,"2792",,
04/05/17 10:49:57.068,"2792",,
04/05/17 10:50:02.069,"2773",,
04/05/17 10:50:07.069,"2812",,
04/05/17 10:50:12.068,"2816",,
04/05/17 10:50:17.069,"2841",,
04/05/17 10:50:22.069,"2831",,
04/05/17 10:50:27.069,"2865",,
04/05/17 10:50:32.068,"2870",,
04/05/17 10:50:37.069,"2870",,
04/05/17 10:50:42.069,"2860",,
04/05/17 10:50:47.068,"2826",,
04/05/17 10:50:52.069,"2831",,
04/05/17 10:50:57.069,"2851",,
04/05/17 10:51:02.069,"2846",,
04/05/17 10:51:07.068,"2851",,
04/05/17 10:51:12.069,"2890",,
04/05/17 10:51:17.069,"2885",,
04/05/17 10:51:22.068,"2855",,
04/05/17 10:51:27.069,"2841",,
04/05/17 10:51:32.069,"2880",,
04/05/17 10:51:37.072,"2880",,
04/05/17 10:51:42.070,"2865",,
04/05/17 10:51:47.069,"2885",,
04/05/17 10:51:52.073,"2890",,
04/05/17 10:51:57.068,"2890",,
04/05/17 10:52:02.069,"2895",,
04/05/17 10:52:07.069,"2915",,
04/05/17 10:52:12.069,"2900",,
04/05/17 10:52:17.068,"2885",,
04/05/17 10:52:22.069,"2890",,
04/05/17 10:52:27.069,"2915",,
04/05/17 10:52:32.068,"2905",,
04/05/17 10:52:32.068,"2905",,
04/05/17 10:52:37.069,"2870",,
04/05/17 10:52:42.069,"2880",,
04/05/17 10:52:47.069,"2910",,
04/05/17 10:52:52.068,"2860",,
04/05/17 10:52:57.069,"2865",,
04/05/17 10:53:02.069,"2851",,
04/05/17 10:53:07.068,"2851",,
04/05/17 10:53:12.069,"2836",,
04/05/17 10:53:17.069,"2821",,
04/05/17 10:53:22.069,"2777",,
04/05/17 10:53:27.068,"2792",,
04/05/17 10:53:32.069,"2836",,
04/05/17 10:53:37.069,"2812",,
04/05/17 10:53:42.068,"2826",,
04/05/17 10:53:47.069,"2851",,
04/05/17 10:53:52.069,"2865",,
04/05/17 10:53:57.069,"2855",,
04/05/17 10:54:02.068,"2860",,
04/05/17 10:54:07.069,"2900",,
04/05/17 10:54:12.069,"2854",,
04/05/17 10:54:17.068,"2854",,
04/05/17 10:54:22.069,"2850",,
04/05/17 10:54:27.069,"2864",,
04/05/17 10:54:32.069,"2859",,
04/05/17 10:54:37.069,"2874",,
04/05/17 10:54:42.069,"2879",,
04/05/17 10:54:47.069,"2899",,
04/05/17 10:54:52.068,"2909",,
04/05/17 10:54:57.069,"2889",,
04/05/17 10:55:02.069,"2904",,
04/05/17 10:55:07.069,"2944",,
04/05/17 10:55:12.071,"2909",,
04/05/17 10:55:17.069,"2909",,
04/05/17 10:55:22.069,"2919",,
04/05/17 10:55:27.068,"2899",,
04/05/17 10:55:32.069,"2914",,
04/05/17 10:55:37.069,"2889",,
04/05/17 10:55:42.069,"2909",,
04/05/17 10:55:47.069,"2919",,
04/05/17 10:55:52.069,"2889",,
04/05/17 10:55:57.069,"2884",,
04/05/17 10:56:02.070,"2904",,
04/05/17 10:56:07.069,"2914",,
04/05/17 10:56:12.069,"2929",,
04/05/17 10:56:17.069,"2924",,
04/05/17 10:56:22.069,"2934",,
04/05/17 10:56:27.069,"2934",,
04/05/17 10:56:32.069,"2914",,
04/05/17 10:56:37.068,"2919",,
04/05/17 10:56:42.069,"2884",,
04/05/17 10:56:47.069,"2899",,
04/05/17 10:56:47.069,"2899",,
