Shortcut,Name,Phase,Molar Mass,Melting Point,Boiling Point,Density,Heat Capacity,Linear Expansion Coefficient,Modulus of Elasticity,
sSubstance,sName,ttxPhases,fMolarMass,fMeltPoint,fBoilPoint,fDensity,fCp,fExpCoeff,fModElast,number of properties is not limited. as long as the name is in the first row and the variablename in the second!
-,-,-,kg/mol,K,K,kg/m3,J/(kg*K),-,-,
CeleryInedibleWet,CeleryInedibleWet,liquid,0.02307,,,804,1860,,,
CeleryEdibleWet,CeleryEdibleWet,solid,0.02307,,,804,1860,,,
CeleryInedibleWet,CeleryInedibleWet,solid,0.02307,,,804,1860,,,
ChardEdibleWet,ChardEdibleWet,liquid,0.02307,,,804,1860,,,
ChardInedibleWet,ChardInedibleWet,liquid,0.02307,,,804,1860,,,
ChardEdibleWet,ChardEdibleWet,solid,0.02307,,,804,1860,,,
ChardInedibleWet,ChardInedibleWet,solid,0.02307,,,804,1860,,,
DrybeanEdibleWet,DrybeanEdibleWet,liquid,0.02307,,,804,1860,,,
DrybeanIndibleWet,DrybeanIndibleWet,liquid,0.02307,,,804,1860,,,
DrybeanEdibleWet,DrybeanEdibleWet,solid,0.02307,,,804,1860,,,
DrybeanIndibleWet,DrybeanIndibleWet,solid,0.02307,,,804,1860,,,
GreenonionEdibleWet,GreenonionEdibleWet,liquid,0.02307,,,804,1860,,,
GreenonionInedibleWet,GreenonionInedibleWet,liquid,0.02307,,,804,1860,,,
GreenonionEdibleWet,GreenonionEdibleWet,solid,0.02307,,,804,1860,,,
GreenonionInedibleWet,GreenonionInedibleWet,solid,0.02307,,,804,1860,,,
LettuceEdibleWet,LettuceEdibleWet,liquid,0.02307,,,804,1860,,,
LettuceInedibleWet,LettuceInedibleWet,liquid,0.02307,,,804,1860,,,
LettuceEdibleWet,LettuceEdibleWet,solid,0.02307,,,804,1860,,,
LettuceInedibleWet,LettuceInedibleWet,solid,0.02307,,,804,1860,,,
OnionEdibleWet,OnionEdibleWet,liquid,0.02307,,,804,1860,,,
OnionInedibleWet,OnionInedibleWet,liquid,0.02307,,,804,1860,,,
OnionEdibleWet,OnionEdibleWet,solid,0.02307,,,804,1860,,,
OnionInedibleWet,OnionInedibleWet,solid,0.02307,,,804,1860,,,
PeaEdibleWet,PeaEdibleWet,liquid,0.02307,,,804,1860,,,
PeaInedibleWet,PeaInedibleWet,liquid,0.02307,,,804,1860,,,
PeaEdibleWet,PeaEdibleWet,solid,0.02307,,,804,1860,,,
